Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,county_fips
" Harrisonburg city, Virginia",40437,41646,42837,43176,43753,44572,45858,46551,47286,48294,49041,49935,51312,51537,52542,52675,53542,53644,53488,53016,54810,51660
" Hopewell city, Virginia",22277,22147,22291,22046,21998,22131,22295,22549,22576,22455,22655,22502,22309,22161,22109,22231,22539,22505,22478,22529,23033,51670
" Lexington city, Virginia",6825,6858,6842,6750,6810,6903,6978,6956,6963,7006,7046,6972,7018,7146,7125,7162,7148,7154,7297,7446,7479,51678
" Lynchburg city, Virginia",65330,65003,65263,66496,67021,68773,70919,72869,74018,75137,75686,76584,77269,77940,78141,79134,79710,80523,81309,82168,80395,51680
" Manassas city, Virginia",34914,35341,35878,36253,36564,36452,35631,34969,34858,36674,38201,39101,40284,41082,41142,41409,41189,41141,41046,41085,42772,51683
" Manassas Park city, Virginia",10305,10777,11150,11357,11982,12451,12490,12677,12744,13613,14450,15067,15397,15896,15916,16129,16456,17149,17718,17478,17219,51685
" Martinsville city, Virginia",15331,15173,14867,14796,14448,14405,14281,14042,14040,14012,13769,13596,13492,13416,13317,13259,12996,12823,12627,12554,13485,51690
" Newport News city, Virginia",180236,181873,183061,183404,185204,183651,183581,182528,181287,181000,180712,180078,180056,181275,181522,180958,180209,179447,178523,179225,186247,51700
" Norfolk city, Virginia",234986,236489,241704,239286,243836,239650,243406,241248,241201,241725,243135,243655,246149,245468,246576,246457,245680,244543,243585,242742,238005,51710
" Norton city, Virginia",3916,3896,3929,3944,3847,3767,3825,3869,3861,3903,3971,4087,4124,4099,4135,4009,3972,3918,3972,3981,3687,51720
" Petersburg city, Virginia",33561,33183,32803,32645,32292,31930,32181,32318,32321,32168,32527,32091,31996,32311,32241,31892,31380,31137,31056,31346,33458,51730
" Poquoson city, Virginia",11582,11523,11697,11797,11772,11879,12008,12089,12103,12153,12141,12042,12114,12094,12009,12021,11952,12039,12169,12271,12460,51735
" Portsmouth city, Virginia",100337,99166,98297,97184,97428,98069,99213,97831,95802,95384,95696,95748,96480,96075,95829,96336,95165,94838,94750,94398,97915,51740
" Radford city, Virginia",15872,16193,15963,15691,15743,15995,16163,16341,16304,16361,16423,16814,16714,17117,17392,17295,17324,17484,18101,18249,17604,51750
" Richmond city, Virginia",196782,197575,197513,197306,196878,197465,198618,200201,202254,203678,204389,206391,210794,213860,217044,220856,225369,227230,229221,230436,226610,51760
" Roanoke city, Virginia",94941,94931,93956,93716,93614,93932,94247,94916,95813,97023,96967,96782,98011,98849,99427,99669,99337,98986,99009,99143,100011,51770
" Salem city, Virginia",24747,24487,24554,24465,24096,24310,24508,24482,24673,24684,24860,25026,25179,25317,25428,25364,25252,25373,25293,25301,25346,51775
" Staunton city, Virginia",23896,23734,23691,23726,23501,23603,23638,23920,23945,23764,23765,24023,23809,24101,24283,24185,24156,24325,24562,24932,25750,51790
" Suffolk city, Virginia",64216,66448,69274,72721,75725,77957,80291,81273,82603,83648,84906,84750,85251,85751,86882,88079,89194,90108,90975,92108,94324,51800
" Virginia Beach city, Virginia",426918,428396,430183,431600,437494,436210,437739,434732,433331,435004,439172,442583,445044,447706,448864,450304,450983,449896,449849,449974,459470,51810
" Waynesboro city, Virginia",19661,19744,20010,20163,20351,20533,20728,20747,20920,20985,21045,21103,21066,21167,21305,21542,21757,22242,22531,22630,22196,51820
" Williamsburg city, Virginia",12012,12024,11829,11796,11986,12400,12810,13142,13296,13687,14170,14109,14526,14617,14580,14800,14884,14994,15002,14954,16017,51830
" Winchester city, Virginia",23699,24224,24602,24649,25175,25565,25757,25701,26004,26036,26268,26660,27008,27321,27382,27480,27785,28178,27962,28078,28120,51840
